N,P,K,ph,crop
44,85,25,5.23,lentil
52,94,27,5.36,lentil
57,83,27,5.26,lentil
156,19,18,7.78,barley
48,82,29,5.05,lentil
75,55,54,6.84,maize
147,10,17,7.57,barley
74,50,56,6.5,maize
109,39,33,5.31,rice
65,58,56,6.68,maize
76,50,58,6.65,maize
87,49,42,6.45,wheat
28,74,18,5.96,millet
47,97,25,5.25,lentil
212,96,50,5.59,chickpea
125,28,28,7.48,cotton
47,97,20,5.14,lentil
176,68,67,6.05,sugarcane
133,26,21,7.04,cotton
103,36,31,5.44,rice
67,56,50,6.68,maize
170,64,67,6.2,sugarcane
28,75,14,5.65,millet
198,76,32,7.01,soybean
25,77,16,5.81,millet
48,92,27,5.47,lentil
174,68,61,6.07,sugarcane
41,83,28,5.4,lentil
219,99,54,5.38,chickpea
64,55,51,6.61,maize
20,74,13,5.64,millet
21,63,12,5.57,millet
90,41,43,6.39,wheat
181,77,30,6.89,soybean
109,32,32,5.04,rice
164,67,67,6.28,sugarcane
140,15,12,7.54,barley
119,37,38,5.41,rice
147,17,15,7.9,barley
70,56,58,6.51,maize
205,91,58,5.39,chickpea
177,67,65,6.39,sugarcane
141,13,10,7.89,barley
167,66,64,6.01,sugarcane
130,29,21,7.29,cotton
139,21,20,7.17,cotton
208,92,58,5.37,chickpea
29,76,12,5.81,millet
177,63,69,6.24,sugarcane
61,50,55,6.7,maize
115,30,30,5.05,rice
195,72,39,6.93,soybean
88,40,40,6.36,wheat
206,99,57,5.41,chickpea
154,12,15,7.88,barley
196,70,33,6.97,soybean
123,24,27,7.38,cotton
64,59,52,6.97,maize
207,91,56,5.41,chickpea
32,75,15,5.85,millet
96,43,47,6.26,wheat
186,76,30,7.07,soybean
206,92,52,5.55,chickpea
177,61,64,6.18,sugarcane
176,68,64,6.31,sugarcane
55,89,21,5.3,lentil
163,68,67,6.32,sugarcane
208,91,53,5.28,chickpea
129,20,25,7.21,cotton
120,24,23,7.19,cotton
155,17,13,7.91,barley
69,50,57,6.65,maize
206,98,52,5.43,chickpea
29,62,12,5.79,millet
45,99,26,5.05,lentil
54,84,24,5.4,lentil
179,64,61,6.23,sugarcane
208,97,50,5.31,chickpea
57,81,23,5.18,lentil
84,49,45,6.3,wheat
180,76,36,7.03,soybean
167,67,67,6.32,sugarcane
176,60,61,6.19,sugarcane
78,54,59,6.96,maize
101,31,32,5.13,rice
80,40,48,6.2,wheat
164,64,61,6.35,sugarcane
35,63,11,5.68,millet
33,77,12,5.97,millet
48,82,27,5.14,lentil
205,96,57,5.58,chickpea
131,29,27,7.45,cotton
208,91,55,5.34,chickpea
132,23,24,7.1,cotton
154,19,16,7.54,barley
42,99,22,5.26,lentil
125,25,29,7.11,cotton
169,68,60,6.28,sugarcane
62,50,56,6.66,maize
57,93,20,5.34,lentil
157,17,10,7.93,barley
86,47,46,6.04,wheat
129,20,23,7.48,cotton
33,68,14,5.73,millet
48,90,24,5.45,lentil
113,39,35,5.14,rice
77,53,59,6.79,maize
75,53,50,6.64,maize
53,87,22,5.23,lentil
137,25,28,7.27,cotton
63,54,55,6.86,maize
162,62,64,6.25,sugarcane
143,18,18,8.0,barley
81,43,49,6.14,wheat
42,83,28,5.4,lentil
75,56,56,6.92,maize
179,63,67,6.11,sugarcane
132,22,21,7.04,cotton
195,72,36,6.81,soybean
52,80,24,5.46,lentil
160,63,62,6.29,sugarcane
87,47,42,6.15,wheat
172,65,68,6.17,sugarcane
113,33,36,5.13,rice
132,29,29,7.05,cotton
104,30,36,5.38,rice
107,36,30,5.41,rice
79,56,54,6.96,maize
215,94,52,5.24,chickpea
116,33,37,5.02,rice
173,68,65,6.22,sugarcane
157,10,12,7.73,barley
108,34,36,5.09,rice
143,10,14,7.73,barley
160,62,69,6.23,sugarcane
136,24,22,7.05,cotton
71,50,54,6.58,maize
175,67,65,6.3,sugarcane
73,59,51,6.89,maize
24,76,10,5.86,millet
174,60,64,6.03,sugarcane
44,82,24,5.15,lentil
145,12,11,7.78,barley
150,19,11,7.86,barley
209,93,53,5.44,chickpea
65,53,56,6.69,maize
86,49,44,6.12,wheat
197,78,30,6.88,soybean
115,37,31,5.21,rice
83,43,41,6.34,wheat
127,21,28,7.21,cotton
76,55,52,6.6,maize
54,81,22,5.35,lentil
142,13,17,7.9,barley
213,99,51,5.46,chickpea
161,64,68,6.36,sugarcane
154,14,17,7.63,barley
38,74,17,5.74,millet
195,73,35,7.1,soybean
153,13,15,7.8,barley
198,70,35,6.9,soybean
52,83,29,5.33,lentil
64,53,51,6.54,maize
161,66,69,6.28,sugarcane
204,93,54,5.53,chickpea
50,94,22,5.34,lentil
91,48,42,6.45,wheat
43,90,24,5.35,lentil
189,77,34,6.93,soybean
191,76,33,6.81,soybean
118,36,35,5.15,rice
186,79,32,6.95,soybean
89,48,49,6.32,wheat
34,67,16,5.59,millet
30,62,17,5.81,millet
187,79,36,7.09,soybean
142,19,18,7.9,barley
101,35,31,5.29,rice
101,37,31,5.04,rice
54,97,21,5.17,lentil
168,66,67,6.11,sugarcane
151,15,16,7.61,barley
71,53,58,6.94,maize
59,90,26,5.11,lentil
71,59,52,6.98,maize
94,44,45,6.12,wheat
199,76,36,6.99,soybean
123,29,22,7.39,cotton
210,94,53,5.46,chickpea
181,78,33,7.06,soybean
59,83,20,5.31,lentil
32,72,14,5.87,millet
151,16,12,7.81,barley
175,61,60,6.3,sugarcane
137,27,22,7.03,cotton
147,13,18,7.59,barley
188,73,34,7.1,soybean
147,18,15,7.69,barley
149,16,11,7.77,barley
177,69,66,6.09,sugarcane
124,25,25,7.29,cotton
164,65,65,6.08,sugarcane
147,13,18,7.69,barley
153,11,15,7.98,barley
105,34,38,5.49,rice
187,75,33,7.17,soybean
183,73,38,7.0,soybean
79,57,58,6.99,maize
138,25,25,7.25,cotton
79,58,54,6.79,maize
212,97,51,5.27,chickpea
153,16,14,7.9,barley
61,51,58,6.98,maize
113,33,30,5.02,rice
67,53,53,6.52,maize
169,62,61,6.07,sugarcane
181,72,38,7.06,soybean
182,75,37,6.93,soybean
31,77,18,5.96,millet
102,37,30,5.2,rice
191,70,36,6.88,soybean
79,59,54,6.83,maize
108,38,32,5.35,rice
121,21,20,7.19,cotton
48,94,20,5.28,lentil
93,43,48,6.35,wheat
219,90,54,5.59,chickpea
213,91,58,5.39,chickpea
87,46,46,6.22,wheat
215,99,57,5.48,chickpea
164,68,60,6.06,sugarcane
103,32,38,5.27,rice
157,10,10,7.91,barley
31,68,12,5.89,millet
54,82,22,5.06,lentil
105,32,30,5.26,rice
72,53,54,6.76,maize
53,89,23,5.26,lentil
29,64,13,5.7,millet
123,22,20,7.43,cotton
167,62,64,6.06,sugarcane
183,75,38,6.95,soybean
100,33,36,5.29,rice
23,67,16,5.79,millet
97,48,40,6.4,wheat
121,28,25,7.39,cotton
145,11,16,7.52,barley
70,53,56,6.59,maize
126,23,29,7.39,cotton
105,37,34,5.32,rice
197,74,34,7.06,soybean
195,73,31,6.86,soybean
129,28,21,7.48,cotton
126,26,25,7.3,cotton
203,94,54,5.27,chickpea
92,42,42,6.43,wheat
177,63,67,6.01,sugarcane
203,99,59,5.45,chickpea
123,29,29,7.43,cotton
95,45,45,6.01,wheat
210,92,58,5.5,chickpea
163,60,66,6.14,sugarcane
81,45,42,6.3,wheat
163,68,60,6.25,sugarcane
148,11,18,7.78,barley
28,71,12,5.51,millet
91,41,44,6.2,wheat
103,35,32,5.33,rice
190,79,36,7.0,soybean
52,99,27,5.37,lentil
109,30,31,5.49,rice
24,74,13,5.69,millet
67,54,58,6.73,maize
135,20,26,7.14,cotton
61,57,56,6.58,maize
47,88,28,5.46,lentil
74,53,58,6.93,maize
38,70,17,5.9,millet
169,62,69,6.01,sugarcane
110,37,34,5.3,rice
79,59,56,6.72,maize
40,85,21,5.16,lentil
80,47,47,6.27,wheat
194,78,36,6.81,soybean
24,76,13,5.69,millet
106,32,32,5.09,rice
190,75,39,6.95,soybean
182,75,39,6.83,soybean
46,90,29,5.33,lentil
180,75,38,6.84,soybean
131,21,27,7.28,cotton
208,99,59,5.36,chickpea
112,35,34,5.37,rice
121,23,28,7.18,cotton
63,54,56,6.64,maize
163,66,67,6.24,sugarcane
36,75,17,5.8,millet
79,53,52,6.74,maize
56,98,21,5.24,lentil
59,99,25,5.16,lentil
29,64,17,5.65,millet
32,65,16,5.97,millet
39,77,15,5.97,millet
52,93,23,5.3,lentil
185,77,35,7.2,soybean
91,44,41,6.02,wheat
77,56,52,6.86,maize
27,66,19,5.98,millet
203,98,52,5.22,chickpea
34,66,14,5.52,millet
217,99,59,5.32,chickpea
158,16,18,7.98,barley
194,73,35,6.84,soybean
26,75,17,5.75,millet
164,63,69,6.24,sugarcane
169,66,64,6.31,sugarcane
143,17,11,7.52,barley
139,22,20,7.17,cotton
208,92,55,5.4,chickpea
160,67,69,6.14,sugarcane
123,22,20,7.36,cotton
172,62,66,6.29,sugarcane
190,72,38,7.03,soybean
54,84,26,5.29,lentil
218,97,55,5.47,chickpea
97,44,46,6.41,wheat
216,94,59,5.41,chickpea
35,78,16,5.86,millet
216,90,54,5.21,chickpea
188,74,35,6.83,soybean
96,42,48,6.33,wheat
181,79,34,7.1,soybean
219,97,50,5.24,chickpea
63,52,58,6.53,maize
183,74,31,7.19,soybean
91,42,40,6.34,wheat
103,30,37,5.43,rice
207,90,52,5.32,chickpea
30,60,17,5.68,millet
205,91,58,5.45,chickpea
107,34,33,5.5,rice
107,30,30,5.49,rice
207,92,56,5.58,chickpea
163,60,60,6.19,sugarcane
53,87,29,5.22,lentil
176,67,62,6.21,sugarcane
156,14,14,7.73,barley
204,93,58,5.45,chickpea
170,61,66,6.38,sugarcane
158,18,12,7.7,barley
149,19,16,7.57,barley
67,50,54,6.63,maize
159,19,16,7.87,barley
171,62,67,6.13,sugarcane
175,69,65,6.19,sugarcane
153,11,13,7.66,barley
38,74,15,5.77,millet
66,53,58,6.75,maize
44,82,23,5.28,lentil
108,32,33,5.27,rice
150,15,13,7.82,barley
216,90,53,5.31,chickpea
74,54,55,6.75,maize
173,68,61,6.16,sugarcane
218,97,54,5.48,chickpea
176,67,65,6.11,sugarcane
108,35,32,5.41,rice
185,79,36,6.88,soybean
52,95,25,5.18,lentil
174,69,69,6.12,sugarcane
38,74,18,5.57,millet
164,65,61,6.18,sugarcane
138,24,28,7.17,cotton
202,98,59,5.53,chickpea
136,27,27,7.35,cotton
195,76,32,7.13,soybean
72,59,54,6.89,maize
140,14,18,7.58,barley
182,76,30,7.11,soybean
123,22,22,7.04,cotton
117,34,36,5.21,rice
29,77,19,5.61,millet
70,51,50,6.77,maize
62,57,52,6.55,maize
121,22,23,7.32,cotton
176,60,62,6.13,sugarcane
88,43,41,6.43,wheat
51,98,22,5.41,lentil
57,98,23,5.15,lentil
102,38,30,5.27,rice
196,70,39,6.88,soybean
161,64,64,6.08,sugarcane
200,99,51,5.58,chickpea
105,38,34,5.06,rice
41,94,29,5.21,lentil
115,35,33,5.49,rice
53,88,26,5.49,lentil
198,75,36,6.81,soybean
167,69,69,6.29,sugarcane
132,29,27,7.3,cotton
45,87,25,5.24,lentil
40,87,23,5.35,lentil
21,62,11,5.95,millet
111,37,38,5.25,rice
202,99,58,5.41,chickpea
26,63,19,5.81,millet
31,68,13,5.78,millet
171,69,61,6.16,sugarcane
86,45,44,6.13,wheat
191,75,36,6.94,soybean
20,64,17,5.59,millet
77,52,55,6.9,maize
187,77,39,6.82,soybean
99,44,47,6.25,wheat
198,71,33,7.17,soybean
171,62,60,6.3,sugarcane
46,95,23,5.28,lentil
43,88,26,5.22,lentil
72,57,55,6.96,maize
36,60,15,5.88,millet
119,31,39,5.16,rice
68,56,51,6.92,maize
60,59,56,6.66,maize
187,72,31,7.02,soybean
43,85,28,5.33,lentil
61,53,51,6.59,maize
168,63,63,6.32,sugarcane
94,44,43,6.17,wheat
110,34,33,5.28,rice
35,60,14,5.72,millet
48,83,26,5.45,lentil
77,56,54,6.81,maize
154,16,15,7.67,barley
88,49,48,6.13,wheat
146,12,13,7.5,barley
204,96,53,5.55,chickpea
39,61,18,5.51,millet
113,33,38,5.19,rice
55,86,28,5.34,lentil
171,62,64,6.15,sugarcane
121,28,25,7.03,cotton
28,63,11,5.84,millet
42,80,26,5.17,lentil
45,98,24,5.07,lentil
32,69,10,5.75,millet
32,64,13,5.89,millet
183,70,35,6.96,soybean
195,74,32,6.93,soybean
74,55,50,6.56,maize
128,26,27,7.05,cotton
70,58,56,6.8,maize
105,32,38,5.36,rice
49,92,29,5.24,lentil
166,68,69,6.26,sugarcane
178,64,66,6.22,sugarcane
115,34,33,5.27,rice
189,79,31,7.02,soybean
204,92,52,5.27,chickpea
78,58,59,6.63,maize
213,96,50,5.22,chickpea
199,71,36,6.87,soybean
113,33,33,5.44,rice
201,91,54,5.33,chickpea
169,64,61,6.2,sugarcane
170,62,64,6.08,sugarcane
91,49,44,6.43,wheat
119,34,33,5.47,rice
76,53,50,6.72,maize
171,62,65,6.21,sugarcane
120,26,22,7.26,cotton
195,71,32,7.19,soybean
133,20,24,7.03,cotton
74,59,54,6.56,maize
199,79,31,6.89,soybean
156,19,15,7.72,barley
34,61,17,5.98,millet
116,38,37,5.26,rice
48,99,20,5.15,lentil
163,60,69,6.35,sugarcane
214,94,53,5.53,chickpea
24,62,16,5.91,millet
79,57,57,6.83,maize
100,32,35,5.13,rice
87,47,45,6.13,wheat
30,74,18,5.52,millet
65,56,54,6.62,maize
110,33,30,5.17,rice
34,62,13,5.55,millet
107,32,35,5.13,rice
178,68,66,6.13,sugarcane
52,97,22,5.27,lentil
122,25,20,7.31,cotton
115,34,38,5.33,rice
182,74,38,6.94,soybean
139,27,24,7.37,cotton
155,13,10,7.86,barley
95,48,46,6.37,wheat
22,77,13,5.59,millet
69,54,50,6.74,maize
97,47,41,6.08,wheat
63,50,50,6.99,maize
60,57,50,6.6,maize
157,14,11,7.59,barley
167,66,65,6.15,sugarcane
195,73,37,7.1,soybean
182,73,34,7.13,soybean
214,91,58,5.2,chickpea
110,35,34,5.2,rice
119,38,34,5.01,rice
100,33,31,5.05,rice
133,22,20,7.19,cotton
101,39,38,5.4,rice
86,40,46,6.24,wheat
91,44,46,6.35,wheat
39,61,13,5.7,millet
93,43,43,6.31,wheat
174,64,61,6.06,sugarcane
121,26,20,7.31,cotton
63,54,58,6.66,maize
162,62,68,6.31,sugarcane
141,10,15,7.95,barley
29,77,19,5.83,millet
41,99,26,5.38,lentil
88,49,44,6.32,wheat
196,76,37,7.02,soybean
81,48,43,6.24,wheat
89,48,43,6.29,wheat
186,77,36,6.95,soybean
210,91,54,5.4,chickpea
98,43,41,6.01,wheat
50,92,27,5.49,lentil
215,98,58,5.52,chickpea
88,43,46,6.16,wheat
134,26,25,7.47,cotton
133,26,20,7.34,cotton
170,63,66,6.3,sugarcane
192,73,33,7.08,soybean
72,57,51,6.76,maize
34,62,14,5.51,millet
168,62,69,6.25,sugarcane
68,55,54,6.64,maize
218,99,55,5.55,chickpea
175,63,66,6.15,sugarcane
67,54,51,6.98,maize
160,69,63,6.27,sugarcane
42,95,27,5.12,lentil
161,65,68,6.3,sugarcane
167,63,66,6.03,sugarcane
55,95,22,5.23,lentil
116,34,34,5.5,rice
77,50,56,6.53,maize
160,68,64,6.24,sugarcane
71,59,54,6.92,maize
134,20,23,7.4,cotton
164,61,61,6.02,sugarcane
60,54,54,6.52,maize
155,14,19,7.64,barley
34,68,13,5.95,millet
29,76,10,5.74,millet
63,50,59,6.55,maize
185,70,30,6.88,soybean
122,27,20,7.29,cotton
119,32,32,5.03,rice
192,71,32,7.02,soybean
42,92,29,5.25,lentil
184,70,32,6.83,soybean
54,94,24,5.0,lentil
190,76,32,7.14,soybean
158,11,11,7.94,barley
196,79,37,6.97,soybean
147,17,10,7.86,barley
165,64,60,6.28,sugarcane
82,43,42,6.42,wheat
90,40,49,6.27,wheat
200,99,52,5.32,chickpea
143,10,15,7.64,barley
38,76,16,5.9,millet
85,42,47,6.07,wheat
56,90,25,5.01,lentil
148,14,15,7.62,barley
65,57,55,6.56,maize
169,67,69,6.15,sugarcane
114,37,30,5.14,rice
56,85,24,5.13,lentil
72,57,55,6.94,maize
185,77,36,6.92,soybean
134,22,28,7.25,cotton
92,44,41,6.12,wheat
116,33,39,5.41,rice
110,37,35,5.21,rice
189,74,38,6.82,soybean
44,91,20,5.17,lentil
153,11,15,7.54,barley
203,94,52,5.23,chickpea
160,68,69,6.18,sugarcane
100,39,33,5.27,rice
140,15,16,7.8,barley
49,81,28,5.22,lentil
109,32,32,5.39,rice
79,57,53,6.63,maize
82,44,44,6.07,wheat
90,41,45,6.11,wheat
179,67,65,6.36,sugarcane
206,99,59,5.45,chickpea
69,54,53,6.6,maize
51,88,22,5.08,lentil
180,78,33,7.0,soybean
44,91,20,5.07,lentil
60,50,55,6.55,maize
37,72,17,5.86,millet
143,11,19,7.93,barley
68,56,59,6.64,maize
34,69,18,5.89,millet
38,72,14,5.83,millet
142,17,16,7.72,barley
177,66,69,6.31,sugarcane
140,16,13,7.86,barley
155,19,12,7.98,barley
181,77,32,7.16,soybean
148,12,12,7.83,barley
125,20,26,7.1,cotton
218,94,59,5.46,chickpea
191,76,33,6.96,soybean
176,62,63,6.17,sugarcane
57,91,29,5.28,lentil
162,61,63,6.24,sugarcane
78,59,54,6.87,maize
137,21,20,7.06,cotton
159,13,18,7.79,barley
142,15,15,7.62,barley
76,52,56,6.86,maize
169,69,62,6.05,sugarcane
67,55,54,6.71,maize
95,49,49,6.21,wheat
151,19,19,7.91,barley
148,10,12,7.67,barley
132,26,29,7.11,cotton
37,77,12,5.82,millet
29,75,14,5.74,millet
70,58,58,6.89,maize
43,92,29,5.28,lentil
166,69,62,6.1,sugarcane
205,92,55,5.55,chickpea
198,70,39,7.15,soybean
63,57,54,6.76,maize
192,73,30,7.03,soybean
21,79,18,5.92,millet
27,77,14,5.83,millet
142,16,13,7.5,barley
170,63,64,6.15,sugarcane
131,23,27,7.33,cotton
168,66,67,6.05,sugarcane
165,65,63,6.39,sugarcane
193,77,35,6.96,soybean
179,61,66,6.06,sugarcane
177,65,68,6.17,sugarcane
103,31,33,5.12,rice
20,70,19,5.82,millet
26,70,17,5.71,millet
51,86,26,5.37,lentil
80,46,46,6.14,wheat
157,15,10,7.53,barley
153,10,13,7.82,barley
66,51,50,6.99,maize
151,12,16,7.78,barley
101,34,34,5.12,rice
120,21,28,7.05,cotton
59,84,25,5.13,lentil
147,14,14,7.75,barley
71,50,55,6.59,maize
132,26,23,7.22,cotton
33,65,12,6.0,millet
168,67,69,6.09,sugarcane
162,62,61,6.19,sugarcane
192,71,36,6.82,soybean
200,94,51,5.31,chickpea
88,49,49,6.05,wheat
142,10,17,7.66,barley
39,74,11,6.0,millet
133,23,25,7.15,cotton
124,29,28,7.38,cotton
100,38,38,5.1,rice
172,61,65,6.01,sugarcane
211,99,55,5.55,chickpea
115,36,32,5.31,rice
65,50,59,6.8,maize
110,34,33,5.13,rice
129,25,28,7.17,cotton
64,58,51,6.52,maize
86,49,41,6.34,wheat
102,36,38,5.46,rice
85,40,48,6.48,wheat
62,53,59,6.6,maize
139,25,23,7.26,cotton
167,64,69,6.16,sugarcane
117,30,36,5.29,rice
140,10,16,7.9,barley
143,10,19,7.52,barley
51,82,28,5.01,lentil
125,21,20,7.13,cotton
140,11,13,7.73,barley
195,73,38,7.14,soybean
54,99,29,5.12,lentil
151,17,13,7.93,barley
44,89,29,5.2,lentil
131,22,29,7.16,cotton
42,89,26,5.05,lentil
24,78,14,5.78,millet
153,12,15,7.95,barley
141,19,14,7.68,barley
188,77,38,7.18,soybean
187,78,36,7.13,soybean
41,80,24,5.46,lentil
129,25,26,7.19,cotton
181,79,34,7.13,soybean
106,37,30,5.28,rice
122,26,25,7.26,cotton
186,70,32,7.12,soybean
149,16,16,7.73,barley
124,26,27,7.15,cotton
77,56,58,6.83,maize
113,38,33,5.03,rice
44,95,26,5.21,lentil
54,85,23,5.14,lentil
149,12,13,7.84,barley
107,30,35,5.35,rice
109,32,32,5.11,rice
122,24,22,7.45,cotton
83,41,44,6.06,wheat
66,51,56,6.78,maize
75,51,56,6.81,maize
209,95,53,5.35,chickpea
106,34,33,5.23,rice
142,16,15,7.94,barley
123,29,22,7.29,cotton
71,53,58,6.56,maize
123,21,26,7.3,cotton
55,96,24,5.31,lentil
182,75,38,7.16,soybean
156,18,15,7.73,barley
80,43,48,6.05,wheat
89,41,41,6.39,wheat
62,53,50,6.89,maize
151,13,16,7.89,barley
60,59,54,6.6,maize
217,99,57,5.48,chickpea
86,40,40,6.3,wheat
103,36,37,5.12,rice
200,94,51,5.29,chickpea
112,30,37,5.23,rice
91,46,40,6.22,wheat
41,83,24,5.35,lentil
32,66,18,5.54,millet
165,67,61,6.08,sugarcane
31,67,17,5.6,millet
40,80,25,5.2,lentil
156,10,17,7.88,barley
155,16,15,7.7,barley
50,90,25,5.41,lentil
20,76,10,5.81,millet
112,38,39,5.4,rice
87,47,45,6.37,wheat
95,40,45,6.1,wheat
188,75,36,6.97,soybean
129,24,28,7.18,cotton
96,46,44,6.21,wheat
76,52,51,6.72,maize
203,99,52,5.55,chickpea
96,42,44,6.49,wheat
41,87,28,5.09,lentil
28,77,16,5.53,millet
171,63,68,6.14,sugarcane
27,68,16,5.64,millet
206,90,54,5.24,chickpea
116,39,35,5.47,rice
214,97,58,5.57,chickpea
207,96,50,5.35,chickpea
121,23,25,7.01,cotton
81,45,44,6.25,wheat
119,33,35,5.21,rice
105,34,31,5.16,rice
163,62,66,6.08,sugarcane
190,73,32,7.15,soybean
98,48,43,6.5,wheat
214,91,53,5.4,chickpea
84,46,47,6.39,wheat
130,29,24,7.34,cotton
206,96,50,5.59,chickpea
210,97,54,5.28,chickpea
28,63,14,5.73,millet
141,17,18,7.62,barley
78,59,51,6.69,maize
84,45,40,6.02,wheat
138,27,28,7.11,cotton
59,86,21,5.06,lentil
85,46,44,6.41,wheat
175,63,60,6.12,sugarcane
49,90,25,5.42,lentil
63,55,51,6.76,maize
187,77,37,6.81,soybean
171,67,62,6.0,sugarcane
118,30,34,5.23,rice
51,87,28,5.25,lentil
174,63,66,6.35,sugarcane
130,29,21,7.35,cotton
202,94,50,5.51,chickpea
76,58,59,6.81,maize
63,50,58,6.86,maize
21,70,19,5.75,millet
129,26,22,7.31,cotton
137,27,29,7.2,cotton
216,97,57,5.47,chickpea
112,30,38,5.05,rice
181,70,33,6.85,soybean
142,10,11,7.92,barley
22,68,18,5.66,millet
97,48,47,6.35,wheat
149,13,19,7.63,barley
20,73,15,5.91,millet
182,78,39,6.82,soybean
204,97,54,5.54,chickpea
46,88,29,5.16,lentil
111,38,39,5.05,rice
57,92,26,5.32,lentil
187,78,36,6.85,soybean
187,71,34,6.89,soybean
123,28,28,7.05,cotton
127,24,21,7.0,cotton
136,29,26,7.17,cotton
137,25,25,7.47,cotton
140,17,12,7.83,barley
114,37,35,5.21,rice
210,97,53,5.33,chickpea
95,43,49,6.08,wheat
207,99,50,5.34,chickpea
78,58,56,6.86,maize
133,22,20,7.21,cotton
109,31,36,5.23,rice
81,48,47,6.37,wheat
57,90,28,5.43,lentil
94,42,48,6.36,wheat
131,25,25,7.32,cotton
62,51,51,6.82,maize
145,18,18,7.64,barley
169,65,67,6.34,sugarcane
211,90,54,5.39,chickpea
134,26,25,7.28,cotton
147,14,11,7.95,barley
155,11,13,7.87,barley
80,49,44,6.22,wheat
41,91,23,5.1,lentil
196,71,34,6.8,soybean
32,79,14,5.84,millet
102,38,39,5.22,rice
167,61,64,6.38,sugarcane
151,16,16,7.7,barley
131,20,23,7.21,cotton
131,26,28,7.26,cotton
208,97,50,5.49,chickpea
63,50,53,6.9,maize
30,69,19,5.93,millet
202,97,56,5.4,chickpea
191,77,37,7.17,soybean
183,79,39,7.12,soybean
35,77,11,5.82,millet
120,26,29,7.13,cotton
197,74,36,6.92,soybean
147,15,13,8.0,barley
159,14,15,7.86,barley
117,36,37,5.01,rice
48,87,25,5.45,lentil
219,92,58,5.34,chickpea
41,96,21,5.34,lentil
113,31,35,5.37,rice
133,23,21,7.2,cotton
74,58,59,6.69,maize
111,32,35,5.3,rice
20,77,13,5.66,millet
137,27,28,7.07,cotton
196,74,30,6.97,soybean
43,85,26,5.48,lentil
24,75,16,5.75,millet
173,66,68,6.09,sugarcane
48,84,20,5.1,lentil
201,91,56,5.39,chickpea
184,79,33,7.0,soybean
32,60,13,5.82,millet
54,95,26,5.07,lentil
106,38,35,5.32,rice
33,66,14,5.72,millet
157,10,16,7.74,barley
215,96,52,5.51,chickpea
218,98,59,5.44,chickpea
68,56,53,6.56,maize
26,66,16,5.51,millet
198,74,32,6.86,soybean
154,10,16,7.85,barley
130,22,20,7.2,cotton
82,46,47,6.16,wheat
127,23,21,7.28,cotton
155,10,13,7.82,barley
43,80,25,5.18,lentil
51,90,24,5.03,lentil
55,83,20,5.36,lentil
110,34,30,5.41,rice
116,31,38,5.1,rice
214,96,53,5.29,chickpea
52,92,23,5.18,lentil
151,16,18,7.91,barley
148,19,14,7.97,barley
143,12,16,7.55,barley
71,54,53,6.78,maize
202,92,53,5.57,chickpea
32,73,11,5.66,millet
75,55,57,6.73,maize
121,29,28,7.28,cotton
63,54,56,6.8,maize
213,94,58,5.45,chickpea
46,85,25,5.04,lentil
162,62,63,6.29,sugarcane
217,90,53,5.49,chickpea
146,17,16,7.51,barley
209,93,54,5.46,chickpea
216,95,53,5.33,chickpea
24,72,15,5.73,millet
24,79,15,5.73,millet
50,90,22,5.38,lentil
67,52,56,6.83,maize
179,63,60,6.4,sugarcane
93,40,44,6.36,wheat
191,74,33,6.98,soybean
22,74,11,5.84,millet
20,63,11,5.56,millet
94,46,44,6.23,wheat
130,24,22,7.41,cotton
150,13,10,7.92,barley
27,72,13,5.55,millet
23,68,14,5.72,millet
160,61,62,6.25,sugarcane
165,62,60,6.11,sugarcane
181,70,34,6.93,soybean
173,65,63,6.29,sugarcane
60,53,54,6.6,maize
120,27,24,7.4,cotton
91,46,43,6.29,wheat
36,74,17,5.83,millet
111,39,32,5.18,rice
212,99,50,5.42,chickpea
145,14,18,7.82,barley
38,63,12,5.76,millet
192,73,30,7.06,soybean
155,13,16,7.79,barley
75,55,51,6.86,maize
132,22,21,7.1,cotton
43,91,21,5.17,lentil
181,70,33,7.05,soybean
40,88,26,5.13,lentil
51,83,28,5.36,lentil
104,38,32,5.26,rice
71,54,53,6.93,maize
32,70,10,5.93,millet
47,86,24,5.38,lentil
137,22,23,7.41,cotton
199,70,33,6.98,soybean
63,59,51,6.96,maize
216,97,53,5.42,chickpea
122,24,22,7.06,cotton
76,59,57,6.72,maize
218,99,51,5.46,chickpea
219,98,51,5.29,chickpea
138,23,28,7.48,cotton
34,76,19,5.59,millet
62,54,51,6.85,maize
148,14,18,7.68,barley
23,61,16,5.93,millet
92,40,47,6.04,wheat
131,28,21,7.32,cotton
147,17,13,7.56,barley
61,57,55,6.78,maize
201,93,53,5.55,chickpea
51,92,21,5.2,lentil
168,60,69,6.15,sugarcane
54,96,22,5.08,lentil
71,50,57,6.91,maize
186,73,36,7.07,soybean
61,56,50,6.91,maize
156,10,12,7.65,barley
171,69,63,6.3,sugarcane
63,57,50,6.82,maize
169,67,61,6.05,sugarcane
72,58,50,6.77,maize
135,23,20,7.08,cotton
27,73,11,5.62,millet
124,26,28,7.12,cotton
212,99,59,5.45,chickpea
127,25,29,7.44,cotton
44,99,29,5.14,lentil
21,72,14,5.83,millet
138,28,24,7.3,cotton
112,33,32,5.32,rice
170,67,61,6.36,sugarcane
74,53,57,6.79,maize
120,28,25,7.14,cotton
124,27,25,7.39,cotton
211,95,53,5.22,chickpea
162,60,61,6.34,sugarcane
